The Idol Temple,3:56,John Williams,Raiders of the Lost Ark - Original Motion Picture Soundtrack,Soundtrack,40
Escape From The Temple,1:34,John Williams,Raiders of the Lost Ark - Original Motion Picture Soundtrack,Soundtrack,40
Flight From Peru,2:24,John Williams,Raiders of the Lost Ark - Original Motion Picture Soundtrack,Soundtrack,80
Washington Men/indy's Home,1:06,John Williams,Raiders of the Lost Ark - Original Motion Picture Soundtrack,Soundtrack,40
A Thought For Marion/To Nepal,2:12,John Williams,Raiders of the Lost Ark - Original Motion Picture Soundtrack,Soundtrack,60
The Medallion,2:55,John Williams,Raiders of the Lost Ark - Original Motion Picture Soundtrack,Soundtrack,40
Flight To Cairo,1:30,John Williams,Raiders of the Lost Ark - Original Motion Picture Soundtrack,Soundtrack,40
The Basket Game,5:02,John Williams,Raiders of the Lost Ark - Original Motion Picture Soundtrack,Soundtrack,60
Bad Dates,1:14,John Williams,Raiders of the Lost Ark - Original Motion Picture Soundtrack,Soundtrack,20
The Map Room: Dawn,3:53,John Williams,Raiders of the Lost Ark - Original Motion Picture Soundtrack,Soundtrack,60
Reunion In The Tent/Searching For The Well,4:02,John Williams,Raiders of the Lost Ark - Original Motion Picture Soundtrack,Soundtrack,40
The Well Of The Souls,5:28,John Williams,Raiders of the Lost Ark - Original Motion Picture Soundtrack,Soundtrack,20
Indy Rides The Statue,1:09,John Williams,Raiders of the Lost Ark - Original Motion Picture Soundtrack,Soundtrack,40
The Fist Fight / The Flying Wing,4:37,John Williams,Raiders of the Lost Ark - Original Motion Picture Soundtrack,Soundtrack,60
Desert Chase,7:33,John Williams,Raiders of the Lost Ark - Original Motion Picture Soundtrack,Soundtrack,60
Marion's Theme / The Crate,2:10,John Williams,Raiders of the Lost Ark - Original Motion Picture Soundtrack,Soundtrack,80
The German Sub,1:23,John Williams,Raiders of the Lost Ark - Original Motion Picture Soundtrack,Soundtrack,60
Ride To The Nazi Hideout,3:20,John Williams,Raiders of the Lost Ark - Original Motion Picture Soundtrack,Soundtrack,60
Indy Follows The Ark,1:40,John Williams,Raiders of the Lost Ark - Original Motion Picture Soundtrack,Soundtrack,40
The Miracle Of The Ark,6:07,John Williams,Raiders of the Lost Ark - Original Motion Picture Soundtrack,Soundtrack,40
Washington Ending / Raiders March,6:52,John Williams,Raiders of the Lost Ark - Original Motion Picture Soundtrack,Soundtrack,100
Opening Titles,0:33,John Williams,Jurassic Park - Original Motion Picture Soundtrack,Soundtrack,60
Theme From Jurassic Park,3:27,John Williams,Jurassic Park - Original Motion Picture Soundtrack,Soundtrack,100
Incident At Isla Nublar,5:20,John Williams,Jurassic Park - Original Motion Picture Soundtrack,Soundtrack,60
Journey To The Island,8:53,John Williams,Jurassic Park - Original Motion Picture Soundtrack,Soundtrack,100
The Raptor Attack,2:49,John Williams,Jurassic Park - Original Motion Picture Soundtrack,Soundtrack,40
Hatching Baby Raptor,3:20,John Williams,Jurassic Park - Original Motion Picture Soundtrack,Soundtrack,40
